date,ts,session,session_label,open,high,low,close,p_model_uxp,p_model_dxp,p_model_rx,p_model_rc,p_model_u,p_model_d,p_model_ux,p_model_dx,p_dynamic_uxp,p_dynamic_dxp,p_dynamic_rx,p_dynamic_rc,p_dynamic_u,p_dynamic_d,p_dynamic_ux,p_dynamic_dx,p_trade_long,p_trade_short,p_range_up,p_range_down,p_adr_mid_broken,p_odr_mid_broken,p_confirm_long,p_confirm_short,current_range_high,current_range_low,prior_range_high,prior_range_low,range_candle_count,possible_models,prior_session_model,prior_session_trade_dir,prior_session_box_dir,prior_session_result,prior_session_high,prior_session_low,prior_session_mid
2025-05-12,2025-05-12 22:00:00-04:00,AS,Asia,5850.25,5854.5,5849.5,5854.0,0.361,0.287,0.003,0.18,0.008,0.007,0.074,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494,0.453,0.47,0.463,0.834,0.704,0.494,0.453,,,,,,,,,,,,,
2025-05-12,2025-05-12 22:05:00-04:00,AS,Asia,5853.75,5854.25,5852.75,5854.0,0.361,0.287,0.003,0.18,0.008,0.007,0.074,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494,0.453,0.47,0.463,0.834,0.704,0.494,0.453,,,,,,,,,,,,,
2025-05-12,2025-05-12 22:10:00-04:00,AS,Asia,5854.0,5854.25,5851.5,5852.0,0.361,0.287,0.003,0.18,0.008,0.007,0.074,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494,0.453,0.47,0.463,0.834,0.704,0.494,0.453,,,,,,,,,,,,,
2025-05-12,2025-05-12 22:15:00-04:00,AS,Asia,5852.0,5852.0,5850.25,5851.0,0.361,0.287,0.003,0.18,0.008,0.007,0.074,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494,0.453,0.47,0.463,0.834,0.704,0.494,0.453,,,,,,,,,,,,,
2025-05-12,2025-05-12 22:20:00-04:00,AS,Asia,5851.25,5851.25,5847.75,5848.5,0.361,0.287,0.003,0.18,0.008,0.007,0.074,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494,0.453,0.47,0.463,0.834,0.704,0.494,0.453,,,,,,,,,,,,,
2025-05-12,2025-05-12 22:25:00-04:00,AS,Asia,5848.5,5849.75,5847.0,5848.5,0.361,0.287,0.003,0.18,0.008,0.007,0.074,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494,0.453,0.47,0.463,0.834,0.704,0.494,0.453,,,,,,,,,,,,,
2025-05-12,2025-05-12 22:30:00-04:00,AS,Asia,5848.5,5848.5,5845.75,5845.75,0.361,0.287,0.003,0.18,0.008,0.007,0.074,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494,0.453,0.47,0.463,0.834,0.704,0.494,0.453,,,,,,,,,,,,,
2025-05-12,2025-05-12 22:35:00-04:00,AS,Asia,5846.0,5847.75,5845.75,5846.75,0.361,0.287,0.003,0.18,0.008,0.007,0.074,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494,0.453,0.47,0.463,0.834,0.704,0.494,0.453,,,,,,,,,,,,,
2025-05-12,2025-05-12 22:40:00-04:00,AS,Asia,5846.75,5847.5,5846.25,5846.5,0.361,0.287,0.003,0.18,0.008,0.007,0.074,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494,0.453,0.47,0.463,0.834,0.704,0.494,0.453,,,,,,,,,,,,,
2025-05-12,2025-05-12 22:45:00-04:00,AS,Asia,5846.5,5848.0,5844.25,5847.75,0.361,0.287,0.003,0.18,0.008,0.007,0.074,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494,0.453,0.47,0.463,0.834,0.704,0.494,0.453,,,,,,,,,,,,,
2025-05-12,2025-05-12 22:50:00-04:00,AS,Asia,5847.75,5848.25,5845.25,5847.75,0.361,0.287,0.003,0.18,0.008,0.007,0.074,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494,0.453,0.47,0.463,0.834,0.704,0.494,0.453,,,,,,,,,,,,,
2025-05-12,2025-05-12 22:55:00-04:00,AS,Asia,5847.75,5850.0,5847.0,5848.75,0.361,0.287,0.003,0.18,0.008,0.007,0.074,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494,0.453,0.47,0.463,0.834,0.704,0.494,0.453,,,,,,,,,,,,,
2025-05-12,2025-05-12 23:00:00-04:00,AS,Asia,5848.5,5849.5,5847.0,5847.25,0.361,0.287,0.003,0.18,0.008,0.007,0.074,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494,0.453,0.47,0.463,0.834,0.704,0.494,0.453,,,,,,,,,,,,,
2025-05-12,2025-05-12 23:05:00-04:00,AS,Asia,5847.25,5847.25,5843.5,5846.5,0.361,0.287,0.003,0.18,0.008,0.007,0.074,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494,0.453,0.47,0.463,0.834,0.704,0.494,0.453,,,,,,,,,,,,,
2025-05-12,2025-05-12 23:10:00-04:00,AS,Asia,5846.75,5847.25,5844.25,5845.0,0.361,0.287,0.003,0.18,0.008,0.007,0.074,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494,0.453,0.47,0.463,0.834,0.704,0.494,0.453,,,,,,,,,,,,,
2025-05-12,2025-05-12 23:15:00-04:00,AS,Asia,5845.25,5845.5,5844.5,5845.25,0.361,0.287,0.003,0.18,0.008,0.007,0.074,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494,0.453,0.47,0.463,0.834,0.704,0.494,0.453,,,,,,,,,,,,,
2025-05-12,2025-05-12 23:20:00-04:00,AS,Asia,5845.5,5845.75,5844.75,5845.25,0.361,0.287,0.003,0.18,0.008,0.007,0.074,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494,0.453,0.47,0.463,0.834,0.704,0.494,0.453,,,,,,,,,,,,,
2025-05-12,2025-05-12 23:25:00-04:00,AS,Asia,5845.25,5845.5,5844.25,5844.5,0.361,0.287,0.003,0.18,0.008,0.007,0.074,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494,0.453,0.47,0.463,0.834,0.704,0.494,0.453,,,,,,,,,,,,,
2025-05-12,2025-05-12 23:30:00-04:00,AS,Asia,5844.75,5845.25,5843.75,5844.25,0.361,0.287,0.003,0.18,0.008,0.007,0.074,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494,0.453,0.47,0.463,0.834,0.704,0.494,0.453,,,,,,,,,,,,,
2025-05-12,2025-05-12 23:35:00-04:00,AS,Asia,5844.5,5845.0,5842.5,5843.0,0.361,0.287,0.003,0.18,0.008,0.007,0.074,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494,0.453,0.47,0.463,0.834,0.704,0.494,0.453,,,,,,,,,,,,,
2025-05-12,2025-05-12 23:40:00-04:00,AS,Asia,5843.25,5844.75,5843.0,5844.75,0.361,0.287,0.003,0.18,0.008,0.007,0.074,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494,0.453,0.47,0.463,0.834,0.704,0.494,0.453,,,,,,,,,,,,,
2025-05-12,2025-05-12 23:45:00-04:00,AS,Asia,5844.5,5845.25,5843.75,5844.0,0.361,0.287,0.003,0.18,0.008,0.007,0.074,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494,0.453,0.47,0.463,0.834,0.704,0.494,0.453,,,,,,,,,,,,,
2025-05-12,2025-05-12 23:50:00-04:00,AS,Asia,5844.0,5844.25,5842.75,5843.25,0.361,0.287,0.003,0.18,0.008,0.007,0.074,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494,0.453,0.47,0.463,0.834,0.704,0.494,0.453,,,,,,,,,,,,,
2025-05-12,2025-05-12 23:55:00-04:00,AS,Asia,5843.25,5844.25,5841.75,5842.0,0.361,0.287,0.003,0.18,0.008,0.007,0.074,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494,0.453,0.47,0.463,0.834,0.704,0.494,0.453,,,,,,,,,,,,,
2025-05-13,2025-05-13 00:00:00-04:00,AS,Asia,5842.25,5842.5,5840.5,5840.75,0.541,0.112,0.003,0.177,0.017,0.003,0.116,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483,0.452,0.429,0.527,0.867,0.687,0.483,0.452,,,,,,,,,,,,,
2025-05-13,2025-05-13 00:05:00-04:00,AS,Asia,5841.0,5842.5,5839.75,5842.5,0.541,0.112,0.003,0.177,0.017,0.003,0.116,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483,0.452,0.429,0.527,0.867,0.687,0.483,0.452,,,,,,,,,,,,,
2025-05-13,2025-05-13 00:10:00-04:00,AS,Asia,5842.75,5843.5,5842.0,5842.25,0.541,0.112,0.003,0.177,0.017,0.003,0.116,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483,0.452,0.429,0.527,0.867,0.687,0.483,0.452,,,,,,,,,,,,,
2025-05-13,2025-05-13 00:15:00-04:00,AS,Asia,5842.25,5842.5,5841.0,5842.25,0.541,0.112,0.003,0.177,0.017,0.003,0.116,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483,0.452,0.429,0.527,0.867,0.687,0.483,0.452,,,,,,,,,,,,,
2025-05-13,2025-05-13 00:20:00-04:00,AS,Asia,5842.25,5843.75,5842.0,5843.0,0.541,0.112,0.003,0.177,0.017,0.003,0.116,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483,0.452,0.429,0.527,0.867,0.687,0.483,0.452,,,,,,,,,,,,,
2025-05-13,2025-05-13 00:25:00-04:00,AS,Asia,5842.75,5843.25,5840.25,5840.25,0.541,0.112,0.003,0.177,0.017,0.003,0.116,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483,0.452,0.429,0.527,0.867,0.687,0.483,0.452,,,,,,,,,,,,,
2025-05-13,2025-05-13 00:30:00-04:00,AS,Asia,5840.25,5841.25,5839.0,5840.0,0.541,0.112,0.003,0.177,0.017,0.003,0.116,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483,0.452,0.429,0.527,0.867,0.687,0.483,0.452,,,,,,,,,,,,,
2025-05-13,2025-05-13 00:35:00-04:00,AS,Asia,5840.0,5840.25,5836.5,5837.0,0.541,0.112,0.003,0.177,0.017,0.003,0.116,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483,0.452,0.429,0.527,0.867,0.687,0.483,0.452,,,,,,,,,,,,,
2025-05-13,2025-05-13 00:40:00-04:00,AS,Asia,5837.25,5840.75,5835.75,5840.25,0.541,0.112,0.003,0.177,0.017,0.003,0.116,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483,0.452,0.429,0.527,0.867,0.687,0.483,0.452,,,,,,,,,,,,,
2025-05-13,2025-05-13 00:45:00-04:00,AS,Asia,5840.25,5842.75,5840.25,5842.0,0.541,0.112,0.003,0.177,0.017,0.003,0.116,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483,0.452,0.429,0.527,0.867,0.687,0.483,0.452,,,,,,,,,,,,,
2025-05-13,2025-05-13 00:50:00-04:00,AS,Asia,5842.25,5842.25,5840.75,5840.75,0.541,0.112,0.003,0.177,0.017,0.003,0.116,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483,0.452,0.429,0.527,0.867,0.687,0.483,0.452,,,,,,,,,,,,,
2025-05-13,2025-05-13 00:55:00-04:00,AS,Asia,5840.5,5841.25,5839.75,5840.5,0.541,0.112,0.003,0.177,0.017,0.003,0.116,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483,0.452,0.429,0.527,0.867,0.687,0.483,0.452,,,,,,,,,,,,,
2025-05-13,2025-05-13 01:00:00-04:00,AS,Asia,5840.75,5844.0,5840.0,5843.5,0.541,0.112,0.003,0.177,0.017,0.003,0.116,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483,0.452,0.429,0.527,0.867,0.687,0.483,0.452,,,,,,,,,,,,,
2025-05-13,2025-05-13 01:05:00-04:00,AS,Asia,5843.75,5846.0,5843.0,5843.25,0.541,0.112,0.003,0.177,0.017,0.003,0.116,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483,0.452,0.429,0.527,0.867,0.687,0.483,0.452,,,,,,,,,,,,,
2025-05-13,2025-05-13 01:10:00-04:00,AS,Asia,5843.0,5843.75,5841.5,5841.75,0.541,0.112,0.003,0.177,0.017,0.003,0.116,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483,0.452,0.429,0.527,0.867,0.687,0.483,0.452,,,,,,,,,,,,,
2025-05-13,2025-05-13 01:15:00-04:00,AS,Asia,5841.75,5843.0,5839.75,5843.0,0.541,0.112,0.003,0.177,0.017,0.003,0.116,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483,0.452,0.429,0.527,0.867,0.687,0.483,0.452,,,,,,,,,,,,,
2025-05-13,2025-05-13 01:20:00-04:00,AS,Asia,5842.75,5844.5,5842.5,5844.25,0.541,0.112,0.003,0.177,0.017,0.003,0.116,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483,0.452,0.429,0.527,0.867,0.687,0.483,0.452,,,,,,,,,,,,,
2025-05-13,2025-05-13 01:25:00-04:00,AS,Asia,5844.5,5845.5,5843.0,5845.25,0.541,0.112,0.003,0.177,0.017,0.003,0.116,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483,0.452,0.429,0.527,0.867,0.687,0.483,0.452,,,,,,,,,,,,,
2025-05-13,2025-05-13 01:30:00-04:00,AS,Asia,5845.0,5845.5,5843.75,5845.5,0.541,0.112,0.003,0.177,0.017,0.003,0.116,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483,0.452,0.429,0.527,0.867,0.687,0.483,0.452,,,,,,,,,,,,,
2025-05-13,2025-05-13 01:35:00-04:00,AS,Asia,5845.5,5846.0,5844.5,5845.75,0.541,0.112,0.003,0.177,0.017,0.003,0.116,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483,0.452,0.429,0.527,0.867,0.687,0.483,0.452,,,,,,,,,,,,,
2025-05-13,2025-05-13 01:40:00-04:00,AS,Asia,5845.5,5846.75,5844.25,5846.5,0.541,0.112,0.003,0.177,0.017,0.003,0.116,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483,0.452,0.429,0.527,0.867,0.687,0.483,0.452,,,,,,,,,,,,,
2025-05-13,2025-05-13 01:45:00-04:00,AS,Asia,5846.5,5847.0,5844.5,5845.25,0.541,0.112,0.003,0.177,0.017,0.003,0.116,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483,0.452,0.429,0.527,0.867,0.687,0.483,0.452,,,,,,,,,,,,,
2025-05-13,2025-05-13 01:50:00-04:00,AS,Asia,5845.25,5845.75,5844.0,5845.0,0.541,0.112,0.003,0.177,0.017,0.003,0.116,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483,0.452,0.429,0.527,0.867,0.687,0.483,0.452,,,,,,,,,,,,,
2025-05-13,2025-05-13 01:55:00-04:00,AS,Asia,5844.75,5846.0,5844.5,5845.75,0.541,0.112,0.003,0.177,0.017,0.003,0.116,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483,0.452,0.429,0.527,0.867,0.687,0.483,0.452,,,,,,,,,,,,,
2025-05-13,2025-05-13 02:00:00-04:00,TO,TransODR,5845.75,5850.0,5845.0,5849.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,,,,,,,,,,,,,
2025-05-13,2025-05-13 02:05:00-04:00,TO,TransODR,5849.75,5851.0,5848.25,5848.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,,,,,,,,,,,,,
2025-05-13,2025-05-13 02:10:00-04:00,TO,TransODR,5848.25,5850.5,5847.75,5849.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,,,,,,,,,,,,,
2025-05-13,2025-05-13 02:15:00-04:00,TO,TransODR,5849.5,5850.0,5847.75,5848.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,,,,,,,,,,,,,
2025-05-13,2025-05-13 02:20:00-04:00,TO,TransODR,5848.75,5849.25,5846.25,5847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,,,,,,,,,,,,,
2025-05-13,2025-05-13 02:25:00-04:00,TO,TransODR,5847.25,5847.5,5844.75,5846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,,,,,,,,,,,,,
2025-05-13,2025-05-13 02:30:00-04:00,TO,TransODR,5846.0,5847.0,5845.0,5846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,,,,,,,,,,,,,
2025-05-13,2025-05-13 02:35:00-04:00,TO,TransODR,5846.0,5848.75,5846.0,5847.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,,,,,,,,,,,,,
2025-05-13,2025-05-13 02:40:00-04:00,TO,TransODR,5847.5,5849.25,5847.5,5848.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,,,,,,,,,,,,,
2025-05-13,2025-05-13 02:45:00-04:00,TO,TransODR,5848.25,5849.25,5845.5,5845.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,,,,,,,,,,,,,
2025-05-13,2025-05-13 02:50:00-04:00,TO,TransODR,5845.5,5845.5,5842.75,5844.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,,,,,,,,,,,,,
2025-05-13,2025-05-13 02:55:00-04:00,TO,TransODR,5844.0,5844.5,5842.25,5843.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,,,,,,,,,,,,,
2025-05-13,2025-05-13 03:00:00-04:00,OR,ODRRange,5843.5,5844.0,5839.75,5842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,,,,,,,,,,,,,
2025-05-13,2025-05-13 03:05:00-04:00,OR,ODRRange,5842.25,5844.5,5839.75,5842.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,,,,,,,,,,,,,
2025-05-13,2025-05-13 03:10:00-04:00,OR,ODRRange,5842.75,5845.25,5842.75,5844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,,,,,,,,,,,,,
2025-05-13,2025-05-13 03:15:00-04:00,OR,ODRRange,5844.0,5846.75,5843.25,5845.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,,,,,,,,,,,,,
2025-05-13,2025-05-13 03:20:00-04:00,OR,ODRRange,5845.5,5845.75,5838.0,5839.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,,,,,,,,,,,,,
2025-05-13,2025-05-13 03:25:00-04:00,OR,ODRRange,5839.75,5845.25,5838.25,5844.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,,,,,,,,,,,,,
2025-05-13,2025-05-13 03:30:00-04:00,OR,ODRRange,5844.0,5847.5,5843.5,5845.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,,,,,,,,,,,,,
2025-05-13,2025-05-13 03:35:00-04:00,OR,ODRRange,5845.25,5846.0,5842.75,5844.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,,,,,,,,,,,,,
2025-05-13,2025-05-13 03:40:00-04:00,OR,ODRRange,5844.25,5844.25,5841.25,5842.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,,,,,,,,,,,,,
2025-05-13,2025-05-13 03:45:00-04:00,OR,ODRRange,5842.5,5843.0,5840.5,5841.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,,,,,,,,,,,,,
2025-05-13,2025-05-13 03:50:00-04:00,OR,ODRRange,5841.75,5842.0,5840.25,5840.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,,,,,,,,,,,,,
2025-05-13,2025-05-13 03:55:00-04:00,OR,ODRRange,5840.75,5842.5,5840.25,5841.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,,,,,,,,,,,,,
2025-05-13,2025-05-13 04:00:00-04:00,OS,ODR,5841.25,5844.25,5841.0,5842.0,0.5,0.0,0.1,0.0,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.6,0.7,0.7,0.4,0.4,,,,,,,,,,,,,
2025-05-13,2025-05-13 04:05:00-04:00,OS,ODR,5842.0,5842.75,5838.5,5839.5,0.5,0.0,0.1,0.0,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.6,0.7,0.7,0.4,0.4,,,,,,,,,,,,,
2025-05-13,2025-05-13 04:10:00-04:00,OS,ODR,5839.0,5841.75,5838.25,5841.5,0.5,0.0,0.1,0.0,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.6,0.7,0.7,0.4,0.4,,,,,,,,,,,,,
2025-05-13,2025-05-13 04:15:00-04:00,OS,ODR,5841.75,5845.25,5841.5,5845.0,0.5,0.0,0.1,0.0,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.6,0.7,0.7,0.4,0.4,,,,,,,,,,,,,
2025-05-13,2025-05-13 04:20:00-04:00,OS,ODR,5844.75,5846.75,5843.0,5846.0,0.5,0.0,0.1,0.0,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.6,0.7,0.7,0.4,0.4,,,,,,,,,,,,,
2025-05-13,2025-05-13 04:25:00-04:00,OS,ODR,5846.25,5846.75,5842.0,5843.5,0.5,0.0,0.1,0.0,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.6,0.7,0.7,0.4,0.4,,,,,,,,,,,,,
2025-05-13,2025-05-13 04:30:00-04:00,OS,ODR,5843.75,5845.75,5842.5,5845.75,0.5,0.0,0.1,0.0,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.6,0.7,0.7,0.4,0.4,,,,,,,,,,,,,
2025-05-13,2025-05-13 04:35:00-04:00,OS,ODR,5845.75,5848.0,5845.0,5845.25,0.5,0.0,0.1,0.0,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.6,0.7,0.7,0.4,0.4,,,,,,,,,,,,,
2025-05-13,2025-05-13 04:40:00-04:00,OS,ODR,5845.25,5845.75,5841.75,5842.25,0.5,0.0,0.1,0.0,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.6,0.7,0.7,0.4,0.4,,,,,,,,,,,,,
2025-05-13,2025-05-13 04:45:00-04:00,OS,ODR,5842.25,5842.5,5839.0,5839.75,0.5,0.0,0.1,0.0,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.6,0.7,0.7,0.4,0.4,,,,,,,,,,,,,
2025-05-13,2025-05-13 04:50:00-04:00,OS,ODR,5839.5,5840.0,5838.0,5839.75,0.5,0.0,0.1,0.0,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.6,0.7,0.7,0.4,0.4,,,,,,,,,,,,,
2025-05-13,2025-05-13 04:55:00-04:00,OS,ODR,5839.5,5840.25,5838.75,5839.0,0.5,0.0,0.1,0.0,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.6,0.7,0.7,0.4,0.4,,,,,,,,,,,,,
2025-05-13,2025-05-13 05:00:00-04:00,OS,ODR,5839.25,5842.0,5837.5,5840.75,0.5,0.0,0.1,0.0,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.6,0.7,0.7,0.4,0.4,,,,,,,,,,,,,
